"date","time","year","month","day","season","time_of_day","lat","lon","swell","beaufort","id","home_screen","effort","group","species","age","count","behaviour","distance_band","shag_plumage","note","species_nice_name"
2025-07-26,16H 41M 37S,2025,7,26,"winter","afternoon",-46.69969875,168.2865981,"0-0.5","1",5,"seabirds",NA,"mollymawk_sooty","white-capped_mollymawk","adult",1,"sitting_on_water","100-200m",NA,NA,"White-capped mollymawk"
2025-07-26,16H 43M 28S,2025,7,26,"winter","afternoon",-46.71039989,168.2778875,"0-0.5","1",5,"seabirds",NA,"mollymawk_sooty","white-capped_mollymawk","adult",1,"flying_N",NA,NA,"N","White-capped mollymawk"
2025-07-26,16H 47M 6S,2025,7,26,"winter","afternoon",-46.73169189,168.2616426,"0-0.5","1",5,"seabirds",NA,"shag","stewart_island_shag","dont_know",1,"sitting_on_water","50-100m","bronze","Bronze","Stewart Island shag"
2025-07-26,16H 47M 37S,2025,7,26,"winter","afternoon",-46.73477186,168.259451,"0-0.5","1",5,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp","dont_know",1,"flying_N",NA,NA,NA,"Unknown (Thalassarche) mollymawk"
2025-07-26,16H 48M 17S,2025,7,26,"winter","afternoon",-46.73870507,168.2566226,"0-0.5","1",5,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","adult",1,"sitting_on_water","100-200m",NA,NA,"Buller's mollymawk"
2025-07-26,16H 49M 55S,2025,7,26,"winter","afternoon",-46.74854761,168.2495826,"0-0.5","1",5,"seabirds",NA,"diving_petrel","common_diving_petrel","dont_know",2,"flying_W",NA,NA,"W","Common diving petrel"
2025-07-26,16H 51M 4S,2025,7,26,"winter","afternoon",-46.75547324,168.2448423,"0-0.5","1",5,"seabirds",NA,"diving_petrel","common_diving_petrel","dont_know",1,"flying_S",NA,NA,"S","Common diving petrel"
2025-07-26,16H 51M 59S,2025,7,26,"winter","afternoon",-46.76105127,168.2412628,"0-0.5","1",5,"seabirds",NA,"diving_petrel","common_diving_petrel","dont_know",1,"flying_E",NA,NA,"E","Common diving petrel"
2025-07-26,16H 54M 39S,2025,7,26,"winter","afternoon",-46.77715894,168.2311452,"0-0.5","1",5,"seabirds",NA,"diving_petrel","common_diving_petrel","dont_know",1,"flying_W",NA,NA,"W","Common diving petrel"
2025-07-26,17H 0M 27S,2025,7,26,"winter","afternoon",-46.81193696,168.2078119,"0-0.5","1",5,"seabirds",NA,"shag","stewart_island_shag","dont_know",1,"sitting_on_water","0-50m",NA,NA,"Stewart Island shag"
2025-07-26,17H 8M 48S,2025,7,26,"winter","afternoon",-46.86115374,168.173616,"0-0.5","1",5,"seabirds",NA,"skua","southern_skua","dont_know",1,"flying_E",NA,NA,"E southern","southern_skua"
2025-07-26,17H 9M 25S,2025,7,26,"winter","afternoon",-46.8646303,168.1705583,"0-0.5","1",5,"seabirds",NA,"shag","spotted_shag","adult",1,"flying_N",NA,NA,"N","Spotted shag"
2025-07-26,17H 10M 36S,2025,7,26,"winter","afternoon",-46.87123981,168.1645246,"0-0.5","1",5,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp","dont_know",1,"flying_N",NA,NA,"W","Unknown (Thalassarche) mollymawk"
2025-07-26,17H 12M 19S,2025,7,26,"winter","afternoon",-46.88064166,168.1558532,"0-0.5","1",5,"seabirds",NA,"shag","stewart_island_shag","adult",1,"flying_N",NA,"pied","Pied phase","Stewart Island shag"
2025-07-26,17H 13M 7S,2025,7,26,"winter","afternoon",-46.88500449,168.1517583,"0-0.5","1",5,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","adult",2,"flying_N",NA,NA,"N","Buller's mollymawk"
2025-07-26,17H 13M 50S,2025,7,26,"winter","afternoon",-46.88873242,168.14739,"0-0.5","1",NA,"effort","OFF",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-27,7H 59M 30S,2025,7,27,"winter","morning",-46.88623587,168.1512874,"0-0.5","1",6,"effort","ON",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-27,8H 8M 17S,2025,7,27,"winter","morning",-46.84085,168.18843,"0-0.5","1",6,"seabirds",NA,"shag","black_shag",NA,1,"flying_E",NA,NA,NA,"Black shag"
2025-07-27,8H 8M 31S,2025,7,27,"winter","morning",-46.83822,168.19041,"0-0.5","1",6,"seabirds",NA,"shag","stewart_island_shag",NA,8,"flying_E",NA,"bronze",NA,"Stewart Island shag"
2025-07-27,8H 28M 57S,2025,7,27,"winter","morning",-46.71638,168.28183,"0-0.5","1",6,"seabirds",NA,"diving_petrel","common_diving_petrel",NA,1,"flying_N",NA,NA,NA,"Common diving petrel"
2025-07-27,8H 31M 20S,2025,7,27,"winter","morning",-46.70195,168.29214,"0-0.5","1",6,"seabirds",NA,"diving_petrel","common_diving_petrel",NA,1,"flying_N",NA,NA,NA,"Common diving petrel"
2025-07-27,8H 31M 32S,2025,7,27,"winter","morning",-46.70076,168.29303,"0-0.5","1",6,"seabirds",NA,"diving_petrel","common_diving_petrel",NA,2,"flying_E",NA,NA,NA,"Common diving petrel"
2025-07-27,8H 37M 8S,2025,7,27,"winter","morning",-46.66797,168.3184,"0-0.5","1",6,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp",NA,1,"flying_W",NA,NA,NA,"Unknown (Thalassarche) mollymawk"
2025-07-27,8H 44M 20S,2025,7,27,"winter","morning",-46.6279,168.35256,"0-0.5","1",6,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk",NA,1,"flying_E",NA,NA,NA,"Buller's mollymawk"
2025-07-27,8H 45M 39S,2025,7,27,"winter","morning",-46.62148,168.35765,"0-0.5","1",6,"seabirds",NA,"tern","white_fronted_tern",NA,1,"flying_W",NA,NA,NA,"white_fronted_tern"
2025-07-27,8H 47M 37S,2025,7,27,"winter","morning",-46.60488975,168.3588072,"0-0.5","1",NA,"effort","OFF",NA,NA,NA,NA,NA,NA,NA,NA,NA
