"date","id","year","month","day","season","time_of_day","time","lat","lon","swell","beaufort","home_screen","effort","age","species","species_nice_name","group","count","behaviour","distance_band","shag_plumage","scientific_name","dist_to_coast","dist_to_mainland","region_mainland","region_islands"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 29M 11S",-46.72559762,168.2815671,"0-0.5",3,"seabirds",NA,"dont_know","common_diving_petrel","Common diving petrel","diving_petrel",1,"flying_W",NA,NA,"Pelecanoides urinatrix",10240.4415759722,11765.1518029558,"Offshore","Offshore"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 2M 11S",-46.87856031,168.1585571,"0-0.5",1,"seabirds",NA,NA,"red-billed_gull","Red-billed gull","gull",2,"flying_S",NA,NA,"Chroicocephalus novaehollandiae scopulinus",626.040882483065,626.04086837659,"Coastal","Coastal"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 30M 42S",-46.71684473,168.2884403,"0-0.5",3,"seabirds",NA,NA,"Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_E",NA,NA,"Thalassarche bulleri",10677.8297876236,10677.829694452,"Offshore","Offshore"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 31M 8S",-46.71447785,168.2902722,"0-0.5",3,"seabirds",NA,"dont_know","Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_W",NA,NA,"Thalassarche spp.",10385.0566919999,10385.056598868,"Offshore","Offshore"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 37M 51S",-46.67567664,168.3196851,"0-0.5",3,"seabirds",NA,NA,"Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche spp.",5667.95409786205,5667.95404272801,"Coastal","Offshore"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 39M 33S",-46.66597417,168.3268053,"0-0.5",1,"seabirds",NA,"adult","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_E",NA,NA,"Thalassarche bulleri",4523.14053136502,4523.14046859159,"Coastal","Offshore"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 42M 48S",-46.64705206,168.3408361,"0-0.5",1,"seabirds",NA,"dont_know","Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche spp.",2413.88623448706,2413.88622817477,"Coastal","Coastal"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 42M 55S",-46.64627778,168.3414319,"0-0.5",1,"seabirds",NA,NA,"Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_S",NA,NA,"Thalassarche spp.",2334.97761911674,2334.97761469153,"Coastal","Coastal"
"2025-07-27",8,2025,"July",27,"Winter","afternoon","15H 49M 44S",-46.60500035,168.3582838,"0-0.5",1,"seabirds",NA,"adult","black-billed_gull","Black-billed gull","gull",1,"flying_E",NA,NA,"Chroicocephalus bulleri",196.046969637894,196.047034805033,"Coastal","Coastal"
"2025-07-27",9,2025,"July",27,"Winter","afternoon","16H 41M 54S",-46.63285442,168.3464521,"0-0.5",2,"seabirds",NA,NA,"Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_W",NA,NA,"Thalassarche bulleri",960.456409876343,960.456404080604,"Coastal","Coastal"
"2025-07-27",9,2025,"July",27,"Winter","afternoon","16H 42M 51S",-46.63810249,168.3415019,"0-0.5",2,"seabirds",NA,NA,"Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"flying_S",NA,NA,"Thalassarche bulleri",1444.32725234174,1444.32725572019,"Coastal","Coastal"
